G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
73,28,23.6,3.6,8.3,.439,0.8,2.1,.359,2.9,6.1,.468,.486,1.1,1.8,.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1
76,75,26.3,2.8,5.1,.547,0.0,0.0,.000,2.8,5.0,.548,.547,1.4,2.6,.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9
56,56,32.6,7.3,13.0,.557,0.0,0.1,.000,7.3,12.9,.562,.557,4.6,6.1,.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1
32,0,11.3,1.7,4.1,.402,0.2,1.5,.125,1.5,2.6,.560,.424,0.6,1.0,.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1
47,12,22.3,5.4,9.7,.550,0.3,1.0,.304,5.1,8.8,.578,.566,1.9,2.2,.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9
65,21,22.6,3.9,10.5,.372,1.6,5.2,.311,2.3,5.3,.433,.449,1.2,1.7,.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6
50,19,26.3,4.7,12.6,.375,1.9,6.1,.311,2.8,6.5,.434,.450,1.4,1.9,.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8
15,2,9.9,1.1,3.2,.333,0.7,2.2,.303,0.4,1.0,.400,.438,0.7,0.8,.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5
66,61,27.3,3.9,8.6,.448,2.4,5.9,.409,1.5,2.7,.533,.588,1.0,1.1,.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1
56,56,32.3,6.6,9.7,.677,0.0,0.2,.100,6.6,9.6,.688,.678,2.9,4.2,.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1
54,1,15.4,2.4,5.4,.446,0.6,2.0,.291,1.8,3.4,.538,.500,0.7,1.0,.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1
16,6,19.8,2.3,5.9,.379,0.9,3.7,.254,1.3,2.3,.583,.458,0.9,1.2,.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4
3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
13,6,20.7,2.5,6.7,.368,1.0,4.1,.245,1.5,2.6,.559,.443,0.9,1.2,.800,0.3,2.8,3.1,2.1,0.5,0.5,0.5,1.4,6.8
69,11,21.5,3.0,6.8,.446,0.5,1.6,.330,2.5,5.2,.481,.484,1.0,1.5,.638,1.0,4.3,5.3,2.7,1.1,0.7,1.0,1.6,7.6
67,67,32.9,10.3,18.6,.553,1.1,3.6,.293,9.2,15.0,.616,.582,8.3,11.4,.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9
48,6,9.9,1.5,2.7,.547,0.0,0.3,.143,1.4,2.4,.596,.555,0.6,1.0,.630,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6
69,3,26.0,4.6,10.5,.441,2.2,5.8,.375,2.5,4.7,.521,.544,1.9,2.3,.830,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.3
65,65,31.7,5.5,14.0,.391,2.0,6.0,.338,3.5,8.0,.432,.464,3.3,3.9,.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3
48,48,36.0,6.4,14.5,.443,2.4,6.6,.363,4.0,7.9,.511,.526,1.9,2.5,.754,1.5,4.0,5.5,2.6,1.5,0.5,1.7,2.7,17.1
10,0,7.6,0.6,1.2,.500,0.4,0.9,.444,0.2,0.3,.667,.667,0.0,0.0,0,0.0,0.8,0.8,0.4,0.1,0.0,0.3,0.5,1.6
24,11,19.3,1.4,4.1,.333,0.8,3.1,.270,0.5,1.0,.520,.434,0.4,0.8,.556,0.4,3.0,3.4,1.1,0.5,0.3,0.5,0.8,4.0
55,2,16.1,1.7,4.0,.423,1.2,3.0,.415,0.5,1.1,.448,.577,0.7,0.8,.884,0.2,1.0,1.2,1.9,0.3,0.0,1.0,0.7,5.3
34,2,15.0,1.6,4.0,.404,1.1,2.8,.406,0.5,1.2,.400,.548,1.0,1.1,.868,0.2,1.0,1.2,2.2,0.3,0.0,1.3,0.5,5.4
21,0,17.8,1.9,4.1,.453,1.4,3.2,.426,0.5,0.9,.556,.622,0.2,0.2,1.000,0.2,1.1,1.3,1.6,0.3,0.0,0.5,1.0,5.3
82,8,24.2,3.0,7.1,.432,1.0,3.2,.317,2.0,3.9,.525,.503,1.3,1.7,.757,0.6,4.5,5.2,2.0,0.7,0.5,1.1,2.3,8.4
7,0,2.9,0.1,0.9,.167,0.0,0.1,.000,0.1,0.7,.200,.167,0.0,0.0,0,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3
58,58,29.5,7.6,12.0,.634,0.1,0.3,.368,7.5,11.7,.642,.639,1.8,2.4,.746,2.6,7.7,10.2,1.4,0.7,0.7,1.6,2.4,17.2
17,6,11.5,2.2,2.9,.755,0.0,0.0,0,2.2,2.9,.755,.755,0.4,0.6,.545,1.1,3.1,4.2,0.0,0.1,0.6,0.7,1.5,4.7
48,25,24.0,4.7,9.3,.504,0.5,2.0,.237,4.2,7.3,.579,.530,1.4,2.1,.663,2.2,4.9,7.0,0.8,0.5,0.4,0.8,1.9,11.3
30,17,22.1,3.8,8.2,.463,0.5,2.1,.242,3.3,6.1,.538,.494,1.2,1.6,.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3
18,8,27.2,6.2,11.1,.555,0.4,1.9,.229,5.7,9.2,.624,.575,1.8,3.0,.593,2.1,4.7,6.8,1.1,0.7,0.4,1.0,2.4,14.6
75,75,32.3,7.2,16.7,.429,2.9,7.5,.389,4.2,9.2,.462,.517,2.8,3.2,.872,1.4,5.2,6.7,7.6,1.6,0.4,3.3,3.2,20.1
35,35,34.6,4.6,10.9,.423,3.1,7.4,.423,1.5,3.5,.423,.567,0.6,0.8,.750,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0
71,69,25.7,4.2,8.7,.480,1.5,4.0,.381,2.7,4.7,.563,.566,0.8,1.0,.781,2.1,6.0,8.1,1.2,0.5,1.7,1.1,2.6,10.6
76,76,29.8,6.7,14.5,.461,3.0,6.9,.436,3.7,7.6,.484,.565,1.8,2.0,.903,0.6,3.8,4.4,2.7,1.2,0.4,1.5,2.6,18.2
64,1,10.9,1.3,3.2,.411,0.2,0.8,.255,1.1,2.4,.464,.443,0.4,0.7,.591,0.6,1.3,1.9,1.5,0.4,0.2,0.8,1.1,3.2
3,0,4.3,0.0,1.3,.000,0.0,0.0,0,0.0,1.3,.000,.000,0.0,1.3,.000,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0
77,77,33.5,5.1,10.8,.469,1.8,4.7,.394,3.2,6.2,.525,.554,4.4,5.4,.826,1.1,4.5,5.6,2.4,0.7,0.2,1.5,1.2,16.4
74,74,35.4,6.2,12.6,.492,0.8,2.6,.301,5.4,10.0,.543,.524,2.1,2.9,.735,2.6,4.9,7.5,3.5,1.1,0.7,1.8,2.6,15.3
70,70,34.5,7.0,17.1,.408,2.0,5.8,.342,5.0,11.3,.442,.466,4.1,5.8,.714,0.9,4.9,5.8,3.0,0.6,0.2,2.2,2.0,20.0
71,71,32.1,5.5,12.6,.438,2.2,6.1,.365,3.3,6.6,.504,.525,1.4,1.8,.803,0.6,4.2,4.8,3.9,0.8,0.4,1.8,1.6,14.7
2,0,3.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,1.0,1.0,1.000,1.0,1.0,2.0,0.0,0.5,0.0,1.0,1.0,3.0
23,0,7.3,1.3,2.0,.638,0.0,0.2,.000,1.3,1.9,.698,.638,0.4,0.5,.750,1.0,1.7,2.7,0.3,0.2,0.7,0.3,1.4,3.0
59,14,16.2,2.3,4.5,.517,0.3,0.9,.309,2.0,3.5,.572,.549,0.8,1.0,.754,1.1,2.9,3.9,0.7,0.5,0.2,0.8,1.0,5.7
59,54,24.8,3.0,6.6,.463,1.8,4.6,.400,1.2,2.0,.607,.602,0.4,0.6,.658,0.5,3.8,4.3,1.7,1.0,0.7,0.7,1.4,8.3
39,14,14.0,1.2,3.6,.324,0.7,2.1,.363,0.4,1.5,.271,.428,0.3,0.4,.765,0.3,1.4,1.8,0.9,0.6,0.2,0.5,1.8,3.4
69,53,27.9,4.0,9.4,.422,1.2,3.9,.297,2.8,5.5,.511,.484,1.7,2.5,.688,1.0,5.3,6.3,1.4,0.8,1.0,1.3,1.0,10.8
40,40,36.0,8.7,19.3,.451,1.6,5.3,.300,7.1,14.0,.508,.492,4.2,5.1,.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
79,18,25.0,4.2,10.8,.391,3.0,8.1,.377,1.2,2.7,.432,.532,0.6,0.8,.817,0.3,2.5,2.9,1.5,0.5,0.2,0.5,1.1,12.1
1,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
56,20,18.3,2.2,3.9,.561,0.3,0.6,.417,1.9,3.3,.589,.595,0.4,0.6,.600,0.8,2.2,2.9,1.2,0.9,0.4,0.6,2.0,5.1
48,20,19.8,2.5,4.4,.568,0.3,0.8,.417,2.2,3.7,.599,.603,0.4,0.7,.600,0.8,2.4,3.2,1.3,1.0,0.5,0.6,2.2,5.8
8,0,9.6,0.4,1.0,.375,0.0,0.0,0,0.4,1.0,.375,.375,0.0,0.0,0,0.5,0.9,1.4,0.8,0.3,0.0,0.1,1.1,0.8
56,0,14.4,1.8,4.9,.360,1.4,4.1,.335,0.4,0.8,.489,.500,0.6,0.7,.900,0.2,1.9,2.1,0.6,0.3,0.2,0.3,1.5,5.6
34,0,14.7,1.8,5.0,.351,1.4,4.2,.319,0.4,0.8,.519,.485,0.8,0.9,.933,0.2,1.6,1.8,0.5,0.3,0.2,0.4,1.6,5.7
22,0,13.9,1.8,4.7,.375,1.4,3.9,.360,0.4,0.8,.444,.524,0.4,0.5,.800,0.3,2.3,2.5,0.7,0.3,0.3,0.2,1.4,5.3
58,54,25.4,3.1,7.5,.406,1.4,4.2,.343,1.6,3.3,.485,.501,1.7,2.3,.722,1.1,3.1,4.1,4.6,1.2,0.9,1.3,3.0,9.2
82,82,33.0,5.5,13.9,.396,2.6,7.4,.346,2.9,6.4,.454,.489,2.6,3.1,.827,1.3,4.1,5.4,2.8,0.9,0.2,1.2,1.6,16.1
55,28,18.0,1.8,3.6,.485,0.0,0.3,.000,1.8,3.4,.522,.485,1.0,1.3,.746,2.2,2.1,4.3,1.0,0.5,0.5,0.5,1.9,4.5
50,16,14.6,2.6,5.0,.520,0.5,1.6,.288,2.2,3.4,.628,.565,1.3,1.9,.681,1.6,2.0,3.5,1.1,0.4,0.8,0.9,2.1,7.0
36,3,14.1,2.4,4.0,.593,0.0,0.0,0,2.4,4.0,.593,.593,1.1,2.0,.535,1.8,2.9,4.6,0.6,0.3,0.7,0.7,1.9,5.8
71,0,16.1,2.3,4.8,.468,0.8,2.1,.362,1.5,2.7,.549,.547,0.8,1.1,.728,0.9,3.3,4.1,2.2,0.6,0.4,1.2,1.8,6.1
54,29,25.2,3.6,8.7,.421,0.9,3.0,.313,2.7,5.6,.479,.475,1.6,2.2,.761,0.5,2.9,3.4,4.2,1.3,0.4,2.1,1.6,9.9
31,1,11.3,1.1,3.6,.306,0.7,2.3,.292,0.4,1.3,.333,.401,0.2,0.4,.545,0.5,0.9,1.5,0.6,0.4,0.0,0.5,0.9,3.1
63,27,29.3,5.4,12.6,.431,2.7,7.3,.368,2.7,5.3,.516,.537,1.5,1.8,.843,0.5,3.5,4.0,3.1,1.1,0.2,1.1,2.1,15.1
69,69,30.9,6.1,13.4,.455,2.6,6.8,.387,3.5,6.7,.524,.552,3.2,3.8,.858,0.8,3.4,4.3,1.7,0.5,0.0,1.7,1.7,18.1
14,0,5.8,1.1,1.9,.556,0.1,0.3,.250,1.0,1.6,.609,.574,0.1,0.4,.400,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4
35,2,6.9,0.5,1.5,.315,0.1,0.5,.278,0.3,1.0,.333,.361,0.3,0.4,.846,0.5,0.8,1.2,0.6,0.2,0.0,0.4,0.7,1.4
15,0,4.6,0.2,0.9,.231,0.1,0.3,.250,0.1,0.6,.222,.269,0.3,0.5,.625,0.3,0.2,0.5,0.3,0.5,0.1,0.1,0.7,0.8
68,68,34.5,9.7,20.9,.466,2.7,7.0,.383,7.0,13.9,.508,.530,4.6,5.3,.868,0.7,4.4,5.0,4.8,1.1,0.4,2.4,2.6,26.8
51,0,14.9,2.5,6.4,.385,0.7,2.2,.306,1.8,4.2,.425,.437,1.2,1.4,.819,0.3,1.8,2.2,1.0,0.5,0.3,0.6,0.8,6.7
